Applikation;Testabdeckung 
mcbs;44.2%
mcbs-services;40.4%
bot;26.5%
mcbs-cuba;69.6%
ms-cuba-gateway;89.8%
mcbs-customer-api;80.8%
ms-customer-gateway;0.0%
mcbs-customer-product-api;27.5%
ms-customerproduct-gateway;60.4%
ms-businesstransaction;84.3%
ms-businessTransaction-gateway;0.0%
ms-billingaccount-frontend;90.1%
ms-invoice;85.6%
ms-customerchange;87.2%
ms-contentprovider;92.2%
ms-elasticupdate;78.6%
ms-oidc;82.8%
ms-user;77.2%
ms-authoritiesinformation;82.0%
ms-proxy-support;0.0%
mslib-rest;81.5%
